iter	Passed	Remaining
0	1	117
1	2	116
2	3	107
3	4	97
4	4	93
5	6	95
6	6	91
7	7	89
8	8	90
9	10	90
10	10	87
11	11	86
12	16	113
13	18	113
14	20	116
15	22	115
16	22	112
17	24	109
18	24	106
19	26	105
20	27	102
21	28	100
22	29	98
23	30	96
24	31	93
25	35	100
26	37	102
27	40	104
28	41	102
29	42	99
30	43	97
31	44	95
32	45	93
33	46	90
34	47	88
35	49	87
36	50	86
37	53	87
38	54	85
39	55	83
40	56	81
41	57	79
42	58	77
43	59	75
44	60	74
45	61	72
46	63	71
47	64	69
48	65	68
49	67	67
50	68	65
51	71	65
52	73	65
53	76	65
54	77	63
55	78	61
56	79	60
57	80	58
58	81	56
59	83	55
60	84	53
61	86	52
62	87	51
63	92	51
64	93	50
65	94	48
66	95	46
67	96	45
68	97	43
69	98	42
70	99	40
71	100	39
72	102	37
73	104	36
74	106	35
75	107	34
76	108	32
77	109	30
78	111	29
79	112	28
80	113	26
81	115	25
82	118	24
83	119	22
84	120	21
85	121	19
86	122	18
87	123	16
88	126	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	133	7
95	135	5
96	137	4
97	139	2
98	142	1
99	143	0
